,name,url
31,美剧,/f/index/forumpark?cn=%E7%BE%8E%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
32,日本电视剧,/f/index/forumpark?cn=%E6%97%A5%E6%9C%AC%E7%94%B5%E8%A7%86%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
33,内地电视剧,/f/index/forumpark?cn=%E5%86%85%E5%9C%B0%E7%94%B5%E8%A7%86%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
34,台湾电视剧,/f/index/forumpark?cn=%E5%8F%B0%E6%B9%BE%E7%94%B5%E8%A7%86%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
35,东南亚电视剧,/f/index/forumpark?cn=%E4%B8%9C%E5%8D%97%E4%BA%9A%E7%94%B5%E8%A7%86%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
36,其他地区电视剧,/f/index/forumpark?cn=%E5%85%B6%E4%BB%96%E5%9C%B0%E5%8C%BA%E7%94%B5%E8%A7%86%E5%89%A7&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
37,电视剧角色,/f/index/forumpark?cn=%E7%94%B5%E8%A7%86%E5%89%A7%E8%A7%92%E8%89%B2&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
38,电视剧话题,/f/index/forumpark?cn=%E7%94%B5%E8%A7%86%E5%89%A7%E8%AF%9D%E9%A2%98&ci=0&pcn=%E7%94%B5%E8%A7%86%E5%89%A7&pci=0&ct=1
39,香港电影,/f/index/forumpark?cn=%E9%A6%99%E6%B8%AF%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
40,欧美电影,/f/index/forumpark?cn=%E6%AC%A7%E7%BE%8E%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
41,内地电影,/f/index/forumpark?cn=%E5%86%85%E5%9C%B0%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
42,韩国电影,/f/index/forumpark?cn=%E9%9F%A9%E5%9B%BD%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
43,日本电影,/f/index/forumpark?cn=%E6%97%A5%E6%9C%AC%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
44,台湾电影,/f/index/forumpark?cn=%E5%8F%B0%E6%B9%BE%E7%94%B5%E5%BD%B1&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
45,电影话题,/f/index/forumpark?cn=%E7%94%B5%E5%BD%B1%E8%AF%9D%E9%A2%98&ci=0&pcn=%E7%94%B5%E5%BD%B1&pci=0&ct=1
