num	attraction	latitude	longitude
240	King's Cross Station	51.5306741	-0.1224825
241	Beefeater Gin Distillery	51.4858798	-0.1131627
242	Brixton	51.4627367	-0.1145521
243	Garrick Theatre	51.510031	-0.1278258
244	Animals in War Memorial	51.51111239999999	-0.1575134
245	Mudchute Park & Farm	51.4924221	-0.0074613
246	Carlyle's House	51.4840824	-0.1697646
247	Piccadilly Circus	51.5100883	-0.134027
248	Burlington Arcade	51.50817139999999	-0.1397307
249	Knightsbridge	51.5073509	-0.1277583
250	Leicester Square	51.5105977	-0.129599
251	Portobello Road Market	51.5166591	-0.2056818
252	National Maritime Museum	51.4830707	-0.0032751
253	Granary Square	51.536153	-0.125529
254	Carnaby Street	51.511106	-0.136546
255	Crystal Palace Park	51.420917	-0.0673856
256	Boleyn Ground	51.53195669999999	0.0394024
257	Abbey Road	51.5321471	-0.1779579
258	Leicester Square Theatre	51.511365	-0.1301465
259	Guards Museum	51.4993725	-0.1369822
260	Kensington	51.5073509	-0.1277583
261	Marylebone	51.133021	1.3025165
262	Chiswick	51.4884335	-0.2644
263	King's Cross Theatre	51.53501199999999	-0.123363
264	Leadenhall Market	51.5121406	-0.0849635
265	Barbican Centre	51.5198876	-0.09170049999999999
266	St Bride's	51.5137764	-0.1104195
267	Cardinal Place	51.496736	-0.1448378
268	Serpentine Galleries	51.5047891	-0.1750075
269	City Hall	51.504827	-0.0786264
270	Bayswater	51.5073509	-0.1277583
271	Shaftesbury Theatre	51.516203	-0.1261448
272	Peter Harrison Planetarium	51.480875	-0.005289
273	Horse Guards Building	51.5048871	-0.1270364
274	Hippodrome Casino	51.51169549999999	-0.1292402
275	Dennis Severs' House	51.5208912	-0.0777209
276	The New Wimbledon Theatre	51.4194976	-0.201691
277	The London Oratory	51.4967319	-0.1688598
278	King's Cross	51.5073509	-0.1277583
279	Benjamin Franklin House	51.5076423	-0.1248869
280	London Canal Museum	51.534228	-0.1200542
281	West Ham United FC	51.53195669999999	0.0394024
282	Nelson's Column	51.508039	-0.128069
283	Virgin Money London Marathon	51.4756297	0.0116341
284	The London Silver Vaults	51.51748079999999	-0.1120247
285	The Queen's Gallery	51.501364	-0.14189
286	Handel & Hendrix in London	51.5130146	-0.1459885
287	Queen Elizabeth Olympic Park	51.5387095	-0.0166037
288	Science Museum	51.4981806	-0.1741009
289	Hay's Galleria	51.5055138	-0.0835822
290	Alice's Adventures Underground	51.5010927	-0.1126715
291	Florence Nightingale Museum	51.4979895	-0.118887
292	Haymarket Theatre Royal	51.5099396	-0.1328976
293	London Transport Museum	51.5119677	-0.1227163
294	Clink Prison Museum	51.5070209	-0.0918904
295	Cadogan Hall	51.49376239999999	-0.1570296
296	Mall Galleries	51.5105977	-0.129599
297	Russell Square	51.5221667	-0.1249807
298	St. Paul's Church (The Actors' Church)	51.51156	-0.1236774
299	Admiralty Arch	51.5067898	-0.1286584
300	Lyric Theatre London	51.511261	-0.1335492
301	Keats House	51.5554785	-0.1682411
302	Jermyn Street	51.5073509	-0.1277583
303	Wellington Arch	51.5025925	-0.1508545
304	Pimlico	51.5073509	-0.1277583
305	Seven Dials	51.51383879999999	-0.1270139
306	V&A Museum of Childhood	51.5276591	-0.0548387
307	Library and Museum of Freemasonry	51.5149571	-0.1211454
308	Albert Bridge	51.5073509	-0.1277583
309	Diana Princess of Wales Memorial Fountain	51.5072682	-0.1657303
310	Piccadilly Craft Market	51.5087276	-0.1366625
311	Earl's Court	51.4894529	-0.1974184
312	Winston Churchill Statue	51.5005396	-0.1275137
